año,NCODI,inver_iIntangible,inver_IMaterial,inver_IMterrenos,inver_IMresto,inver_Otras,inver_Total
2017,4.2000000000000000e+02,8191,152100,0,152100,0,160291
2017,8.0200000000000000e+02,0,117125,0,117125,0,117125
2017,2.6600000000000000e+02,15286,712627,0,712627,0,727913
2017,1.3700000000000000e+02,0,154360,0,154360,0,154360
2017,7.6900000000000000e+02,0,652800,0,652800,0,652800
2017,7.7600000000000000e+02,54617,1774,0,1774,0,56391
2017,6.4000000000000000e+02,50365,1642,0,1642,0,52007
2017,3.1500000000000000e+02,0,781392,0,781392,0,781392
2017,4.0000000000000000e+01,4800,216326,0,216326,0,221126
2017,5.0800000000000000e+02,0,424848,0,424848,0,424848
2017,4.6000000000000000e+01,0,23938,0,23938,93078,117016
2017,5.9000000000000000e+02,76611,48537,0,48537,0,125148
2017,7.7700000000000000e+02,65541,2136,0,2136,0,67677
2017,8.9700000000000000e+02,488549,1859798,161770,1698028,0,2348347
2017,9.6500000000000000e+02,4272,90415,0,90415,-40566,54121
2017,4.6100000000000000e+02,0,1704,0,1704,0,1704
2017,3.7600000000000000e+02,,181951,0,181951,0,181951
2017,6.2100000000000000e+02,0,0,0,0,51025,51025
2017,7.9300000000000000e+02,0,788140,0,788140,0,788140
2017,1.1020000000000000e+03,11431,398700,0,398700,0,410131
2017,,7744,1725507,0,1725507,0,1733251
2017,7.1200000000000000e+02,0,1220444,0,1220444,0,1220444
2017,3.2000000000000000e+01,0,11423,0,11423,0,11423
2017,3.6100000000000000e+02,0,101419,0,101419,0,101419
2017,4.8600000000000000e+02,0,67041,0,67041,0,67041
2017,5.9500000000000000e+02,0,762686,0,762686,0,762686
2017,4.3300000000000000e+02,0,96994,0,96994,0,96994
2017,1.0580000000000000e+03,0,0,0,0,0,0
2017,2.6100000000000000e+02,125630,40142,0,40142,0,165772
2017,7.3000000000000000e+02,0,15681,0,15681,406106,421787
2017,5.7700000000000000e+02,0,19529,0,19529,127101,146630
2017,7.8800000000000000e+02,0,305787,0,305787,0,305787
2017,8.6500000000000000e+02,16531,233843,0,233843,0,250374
2017,9.7900000000000000e+02,4590,71946,0,71946,0,76536
2017,9.9800000000000000e+02,5261,14603,0,14603,0,19864
2017,1.0720000000000000e+03,6669,91246,0,91246,0,97915
2017,2.2100000000000000e+02,0,19084,0,19084,0,19084
2017,5.0600000000000000e+02,15334,1260207,,1260207,0,1275541
2017,7.2700000000000000e+02,1488,2330399,0,2330399,0,2331887
2017,3.5500000000000000e+02,0,34883,0,34883,0,34883
2017,4.8700000000000000e+02,17148,127200,0,127200,0,144348
2017,9.3800000000000000e+02,0,3440497,143474,3297023,204050,3644547
2017,8.8600000000000000e+02,1709,347738,0,347738,0,349447
2017,8.3500000000000000e+02,0,26747,0,26747,0,26747
2017,9.9900000000000000e+02,0,408216,0,408216,0,408216
