año,NCODI,camas_instalada,incubadoras_instalada,paritorios_instalada,quirofanos_instalada,salasHemo_instalada,camas_funcionamiento,incubadoras_funcionamiento,paritorios_funcionamiento,quirofanos_funcionamiento,salasHemo_funcionamiento,salas_rx_Hospital,salas_rx_CEP,puesto_HDia_medico,puesto_HDia_psiquiatrico,puesto_HDia_geriatrico,integradasPuestos_HDia_CMA,propiasPuestos_HDia_CMA,propiasQuirofanos_HDia_CMA
2016,9.5100000000000000e+02,51,0,0,0,0,51,0,0,0,0,0,0,0,0,21,0,0,0
2016,1.1030000000000000e+03,123,0,0,0,0,119,0,0,0,0,0,0,0,0,30,0,0,0
2016,9.7200000000000000e+02,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
2016,9.7300000000000000e+02,51,0,0,2,1,30,0,0,2,1,2,0,0,0,0,15,10,2
2016,9.7400000000000000e+02,153,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0
2016,9.7500000000000000e+02,101,0,0,0,0,101,0,0,0,0,0,0,0,0,25,0,0,0
2016,9.6000000000000000e+02,191,0,0,0,0,191,0,0,0,0,0,0,0,0,40,0,0,0
2016,1.0280000000000000e+03,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2016,9.7600000000000000e+02,147,0,0,0,0,145,0,0,0,0,0,0,0,15,35,0,0,0
2016,9.7700000000000000e+02,174,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.0200000000000000e+03,22,0,0,0,0,22,0,0,0,0,0,0,0,15,0,0,0,0
2016,9.9400000000000000e+02,245,6,3,5,0,238,6,3,5,0,6,0,23,0,0,0,30,0
2016,9.9500000000000000e+02,84,0,0,0,0,76,0,0,0,0,0,0,0,0,30,0,0,0
2016,1.0600000000000000e+03,25,0,0,0,0,25,0,0,0,0,0,0,0,35,0,0,0,0
2016,1.0050000000000000e+03,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.0610000000000000e+03,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.0060000000000000e+03,52,0,0,0,0,52,0,0,0,0,0,0,0,20,0,0,0,0
2016,1.0880000000000000e+03,10,0,0,5,0,5,0,0,4,0,0,0,0,0,0,0,4,4
2016,1.0890000000000000e+03,106,0,0,9,0,66,0,0,6,0,3,0,6,0,0,8,0,0
2016,1.0760000000000000e+03,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.0780000000000000e+03,98,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.0330000000000000e+03,421,0,0,12,0,358,0,0,12,0,3,0,47,0,0,0,0,0
2016,1.0370000000000000e+03,35,0,0,0,0,35,0,0,0,0,0,0,0,30,0,0,0,0
2016,1.0390000000000000e+03,50,0,0,0,0,50,0,0,0,0,0,0,0,80,0,0,0,0
2016,1.0670000000000000e+03,220,0,0,0,0,199,0,0,0,0,0,0,0,0,50,0,0,0
2016,1.0650000000000000e+03,228,0,0,0,0,228,0,0,0,0,1,0,0,0,0,0,0,0
2016,1.0660000000000000e+03,96,4,3,9,0,96,4,3,9,0,2,3,6,0,0,0,12,0
2016,1.1000000000000000e+03,109,0,0,0,0,73,0,0,0,0,0,0,0,0,30,0,0,0
2016,1.1050000000000000e+03,245,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.1070000000000000e+03,17,0,0,3,0,17,0,0,3,0,0,0,0,0,0,0,3,3
2016,1.1110000000000000e+03,100,0,0,0,0,100,0,0,0,0,0,0,0,25,0,0,0,0
2016,1.1210000000000000e+03,51,0,0,0,0,51,0,0,0,0,0,0,0,0,21,0,0,0
2016,2.0700000000000000e+02,116,2,1,7,0,93,2,1,7,0,4,0,8,0,0,0,0,0
2016,4.3100000000000000e+02,160,0,0,1,0,71,0,0,1,0,1,0,2,0,0,,2,1
2016,3.8700000000000000e+02,123,4,2,3,0,110,2,2,3,0,3,0,6,0,0,1,0,0
2016,1.7900000000000000e+02,75,0,0,0,0,75,0,0,0,0,1,0,0,0,0,0,0,0
2016,6.0600000000000000e+02,114,3,2,3,0,105,3,2,3,0,4,1,16,0,0,0,0,0
2016,9.2500000000000000e+02,865,28,8,24,1,810,28,8,19,1,15,0,58,49,0,35,0,0
2016,5.4100000000000000e+02,107,6,2,4,0,89,6,2,4,0,3,0,1,0,0,0,0,0
2016,7.9700000000000000e+02,102,2,2,5,0,102,2,2,5,0,4,0,4,0,0,0,9,0
2016,6.2700000000000000e+02,250,6,2,7,0,231,5,2,6,0,3,3,16,0,0,0,6,0
2016,1.7300000000000000e+02,330,0,0,0,0,330,0,0,0,0,0,0,0,4,0,0,0,0
2016,6.3600000000000000e+02,520,20,3,17,2,467,20,3,17,2,11,0,22,0,18,0,17,3
2016,2.0500000000000000e+02,33,0,0,3,0,33,0,0,3,0,1,0,0,0,0,0,0,0
2016,8.1400000000000000e+02,20,0,0,1,0,20,0,0,1,0,1,0,0,0,0,0,0,0
2016,8.8100000000000000e+02,34,2,1,3,1,34,2,1,3,1,1,0,0,0,0,0,0,0
2016,7.7100000000000000e+02,716,46,2,25,2,652,46,2,25,2,10,3,85,0,0,41,0,0
2016,5.3300000000000000e+02,48,5,1,1,1,33,3,1,1,1,1,0,1,0,0,4,0,1
2016,4.4700000000000000e+02,380,3,1,7,0,54,1,1,7,0,2,0,8,0,0,0,0,1
2016,8.1500000000000000e+02,14,0,1,3,0,14,0,0,3,0,1,0,0,0,0,0,0,0
2016,8.0100000000000000e+02,486,23,2,8,1,439,23,2,8,1,8,3,25,0,0,8,4,2
2016,8.0000000000000000e+02,126,0,0,5,0,106,0,0,5,0,2,0,0,0,0,0,0,1
2016,3.8900000000000000e+02,290,3,2,4,0,290,3,2,4,0,2,0,0,0,0,0,8,0
2016,6.9500000000000000e+02,411,10,3,7,1,381,10,3,7,1,7,2,36,0,0,4,12,3
2016,8.1600000000000000e+02,126,2,1,4,0,89,1,1,4,0,1,0,7,0,0,0,10,2
2016,8.3300000000000000e+02,110,2,1,5,0,110,2,1,5,0,3,0,5,0,0,9,10,1
2016,8.7000000000000000e+02,94,2,2,6,1,60,1,2,6,1,2,0,1,0,0,0,0,0
2016,9.2700000000000000e+02,51,1,1,2,0,45,0,1,2,0,1,0,1,0,0,0,0,1
2016,9.6100000000000000e+02,445,11,3,12,0,433,11,3,12,0,9,4,40,0,0,0,22,0
2016,9.6200000000000000e+02,40,0,0,3,1,30,0,0,3,1,1,0,0,0,0,2,0,3
2016,1.0790000000000000e+03,40,2,1,2,1,12,2,1,2,1,1,0,0,0,0,0,0,0
2016,1.1010000000000000e+03,69,3,1,3,0,69,3,1,3,0,1,0,2,0,0,5,3,1
2016,6.6600000000000000e+02,574,25,2,16,1,558,25,2,16,1,5,5,12,0,0,0,30,0
2016,3.9200000000000000e+02,130,0,0,0,0,122,0,0,0,0,2,0,0,0,0,0,0,0
