año,NCODI,Urg_altas,Urg_ingresos,Urg_traslados,Urg_exitus,Urg_total
2017,1.4300000000000000e+02,2947,1123,8,0,4078
2017,3.6000000000000000e+01,0,0,0,0,0
2017,7.5600000000000000e+02,65518,6980,591,23,73112
2017,6.6200000000000000e+02,131760,11910,558,60,144288
2017,1.9200000000000000e+02,0,0,0,0,0
2017,3.8200000000000000e+02,0,0,0,0,0
2017,3.2200000000000000e+02,0,0,0,0,0
2017,4.7800000000000000e+02,9316,635,265,0,10216
2017,3.5200000000000000e+02,0,0,0,0,0
2017,6.2800000000000000e+02,98592,11588,591,61,110832
2017,2.9100000000000000e+02,0,0,0,0,0
2017,4.9500000000000000e+02,10199,1192,46,0,11437
2017,8.4500000000000000e+02,84692,8726,57,19,93494
2017,4.9800000000000000e+02,40059,2747,524,50,43380
2017,3.1400000000000000e+02,0,0,0,0,0
2017,7.2000000000000000e+02,30920,4108,11,2,35041
2017,7.2100000000000000e+02,102848,12576,653,31,116108
2017,4.8500000000000000e+02,0,0,0,0,0
2017,2.7300000000000000e+02,52999,5733,71,13,58816
2017,8.4600000000000000e+02,92604,10746,44,43,103437
2017,8.4700000000000000e+02,42926,644,62,0,43632
2017,8.4800000000000000e+02,57182,5263,104,0,62549
2017,9.1600000000000000e+02,1739,905,0,0,2644
2017,9.3000000000000000e+02,80608,3337,152,3,84100
2017,9.5400000000000000e+02,109961,11176,732,36,121905
2017,9.4300000000000000e+02,57703,3023,25,2,60753
2017,9.4900000000000000e+02,198388,29507,1274,181,229350
2017,9.8000000000000000e+02,121741,4133,451,3,126328
2017,9.8100000000000000e+02,12772,202,0,0,12974
2017,1.0240000000000000e+03,89335,5769,83,2,95189
2017,1.0170000000000000e+03,0,0,0,0,0
2017,1.0000000000000000e+03,85110,5714,448,6,91278
2017,1.0180000000000000e+03,102397,7345,345,50,110137
2017,1.0010000000000000e+03,40428,1781,86,3,42298
2017,1.0070000000000000e+03,110604,10122,315,101,121142
2017,1.0080000000000000e+03,74914,8378,247,31,83570
2017,1.0100000000000000e+03,84307,6148,92,28,90575
2017,1.0110000000000000e+03,55381,3373,112,24,58890
2017,1.0120000000000000e+03,95427,6773,33,47,102280
2017,1.0130000000000000e+03,145755,17916,860,89,164620
2017,1.0410000000000000e+03,0,0,0,0,0
2017,1.0730000000000000e+03,98190,6982,289,17,105478
2017,1.0870000000000000e+03,128331,14479,308,67,143185
2017,1.1090000000000000e+03,93550,6767,421,31,100769
2017,1.1100000000000000e+03,76425,5406,94,0,81925
2017,1.1120000000000000e+03,17756,326,177,0,18259
2017,1.1200000000000000e+03,0,0,0,0,0
2017,1.1260000000000000e+03,121582,10734,935,33,133284
2017,7.8900000000000000e+02,0,0,0,0,0
2017,3.2600000000000000e+02,0,0,0,0,0
2017,4.4200000000000000e+02,56811,3098,4,2,59915
2017,2.9400000000000000e+02,49564,2962,104,23,52653
2017,3.7800000000000000e+02,14104,762,25,0,14891
2017,4.0200000000000000e+02,10783,627,0,0,11410
2017,2.9000000000000000e+01,0,0,0,0,0
2017,4.5000000000000000e+02,758,3,0,0,761
2017,6.5600000000000000e+02,48319,3607,187,73,52186
2017,3.3300000000000000e+02,113865,3190,56,4,117115
2017,6.8400000000000000e+02,78463,4855,698,97,84113
2017,4.2200000000000000e+02,5479,111,0,0,5590
2017,7.6300000000000000e+02,322460,18821,1292,399,342972
2017,7.4100000000000000e+02,183518,13920,2646,276,200360
2017,5.5300000000000000e+02,105018,12796,609,215,118638
2017,3.5700000000000000e+02,95,0,0,0,95
2017,8.9900000000000000e+02,0,0,0,0,0
2017,9.0000000000000000e+02,0,0,0,0,0
2017,9.3200000000000000e+02,0,0,0,0,0
2017,9.5000000000000000e+02,0,0,0,0,0
2017,9.6600000000000000e+02,26185,1817,4,0,28006
2017,9.6700000000000000e+02,0,0,0,0,0
2017,9.8200000000000000e+02,68315,5034,94,2,73445
2017,1.0140000000000000e+03,57071,1,1620,3,58695
2017,1.0800000000000000e+03,110262,4696,9,2,114969
2017,1.0740000000000000e+03,13278,50,16,0,13344
2017,1.0840000000000000e+03,21311,15,17,0,21343
2017,1.1130000000000000e+03,199,48,0,0,247
2017,1.1370000000000000e+03,422,131,24,0,577
2017,1.1420000000000000e+03,39149,3687,316,55,43207
2017,7.2200000000000000e+02,178595,27245,1796,119,207755
